algorithm_name,env_n,size,success,states,time,seed,solution
FC,168,10,1,175,0.008791,23,"{0: 7, 1: 9, 2: 4, 3: 1, 4: 5, 5: 0, 6: 2, 7: 6, 8: 8, 9: 3}"
BT,169,10,1,29,0.000105,24,"{0: 4, 1: 1, 2: 5, 3: 9, 4: 2, 5: 6, 6: 8, 7: 3, 8: 7, 9: 0}"
FC,170,10,1,10,0.000511,24,"{0: 4, 1: 1, 2: 5, 3: 9, 4: 2, 5: 6, 6: 8, 7: 3, 8: 7, 9: 0}"
BT,171,10,1,60,0.000257,25,"{0: 5, 1: 3, 2: 1, 3: 4, 4: 7, 5: 9, 6: 0, 7: 2, 8: 8, 9: 6}"
FC,172,10,1,12,0.001272,25,"{0: 5, 1: 3, 2: 1, 3: 4, 4: 7, 5: 9, 6: 0, 7: 2, 8: 8, 9: 6}"
BT,173,10,1,219,0.000434,26,"{0: 2, 1: 4, 2: 9, 3: 7, 4: 3, 5: 1, 6: 6, 7: 8, 8: 5, 9: 0}"
FC,174,10,1,23,0.001832,26,"{0: 2, 1: 4, 2: 9, 3: 7, 4: 3, 5: 1, 6: 6, 7: 8, 8: 5, 9: 0}"
BT,175,10,1,48,0.000198,27,"{0: 9, 1: 2, 2: 4, 3: 8, 4: 3, 5: 0, 6: 6, 7: 1, 8: 5, 9: 7}"
FC,176,10,1,11,0.001039,27,"{0: 9, 1: 2, 2: 4, 3: 8, 4: 3, 5: 0, 6: 6, 7: 1, 8: 5, 9: 7}"
BT,177,10,1,37,0.000145,28,"{0: 5, 1: 3, 2: 9, 3: 4, 4: 2, 5: 8, 6: 6, 7: 1, 8: 7, 9: 0}"
FC,178,10,1,10,0.001225,28,"{0: 5, 1: 3, 2: 9, 3: 4, 4: 2, 5: 8, 6: 6, 7: 1, 8: 7, 9: 0}"
BT,179,10,1,35,0.000227,29,"{0: 3, 1: 5, 2: 2, 3: 8, 4: 1, 5: 7, 6: 4, 7: 6, 8: 9, 9: 0}"
FC,180,10,1,10,0.001359,29,"{0: 3, 1: 5, 2: 2, 3: 8, 4: 1, 5: 7, 6: 4, 7: 6, 8: 9, 9: 0}"
